"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","clients loved designer s work turns ai",FALSE,0,NA,2020-07-21 09:24:01,TRUE,NA,"1285505804263657472",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","CreativeConstr",0,FALSE,FALSE,NA,NA
"2"," just hype ",FALSE,0,NA,2020-07-21 09:24:01,TRUE,NA,"1285505804209135618",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","ai_evolve",0,FALSE,FALSE,NA,NA
"3","ibm deliver joint solutions designed leverage ai enable companies make smarter decisions ",FALSE,0,NA,2020-07-21 09:24:01,TRUE,NA,"1285505801696751618",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","IBMEurope",0,FALSE,FALSE,NA,NA
"4","let s take quick look areas ai paved way fintech s make services faultless u ",FALSE,0,NA,2020-07-21 09:24:00,TRUE,NA,"1285505797078671361",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","doodleblue7",0,FALSE,FALSE,NA,NA
"5","computer says ai  digitalisation workplace heralded key organisational effectivenes ",FALSE,0,NA,2020-07-21 09:23:37,TRUE,NA,"1285505700672741376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MoreFirePR",0,FALSE,FALSE,NA,NA
"6","ibm cloud forum  highlights hybrid cloud ai post pandemic businesses data  storage asean business ",FALSE,0,NA,2020-07-21 09:23:25,TRUE,NA,"1285505651960160257",NA,"<a href=""https://www.socialchamp.io"" rel=""nofollow"">SocialChamp IO </a>","MouliSrini",0,FALSE,FALSE,NA,NA
"7","global ai healthcare market  expected reach highest cagr nvidia google ibm microsoft general vision ",FALSE,0,NA,2020-07-21 09:23:03,TRUE,NA,"1285505560075472897",NA,"<a href=""https://www.digitaltrans4m.com"" rel=""nofollow"">DigitalTrans4m</a>","digital_trans4m",0,FALSE,FALSE,NA,NA
"8"," s time dive ve waiting ai hype s time dive shares ",FALSE,0,NA,2020-07-21 09:22:21,TRUE,NA,"1285505384380338177",NA,"<a href=""http://www.everyonesocial.com"" rel=""nofollow"">EveryoneSocial</a>","liotfra",0,FALSE,FALSE,NA,NA
"9","ai affect lines construction mobility energy real estate businesses second ye ",FALSE,0,NA,2020-07-21 09:22:08,TRUE,NA,"1285505328180793344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WeAreLeonard",0,FALSE,FALSE,NA,NA
"10","join us instructor led tensorflow course showing obtain configure deploy tensorflow create ",FALSE,0,NA,2020-07-21 09:22:00,TRUE,NA,"1285505294647296000",NA,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>","FrameworkTrain",0,FALSE,FALSE,NA,NA
"11","github link ",FALSE,4,"erRaghavKhanna",2020-07-21 09:21:35,TRUE,"1285504929700777985","1285505189475020800","1215497124449644545","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erRaghavKhanna",9,FALSE,FALSE,NA,NA
"12","think also ways ai self driving cars might increase driving ai technology bigdata ml ",FALSE,0,NA,2020-07-21 09:21:05,FALSE,NA,"1285505065533480962",NA,"<a href=""https://gmb.com"" rel=""nofollow"">GMBquotes</a>","BenefitsMind",0,FALSE,FALSE,NA,NA
"13"," efood forests ty via agritech agrifarm ai iot fintech blockchain marketing ",FALSE,0,NA,2020-07-21 09:21:00,TRUE,NA,"1285505042074591232",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","enricomolinari",1,FALSE,FALSE,NA,NA
